T,2425,1,0,-9446,192,421,0,0,5,524,-5,740,0,0,0,0
T,2426,2,0,-2824,191,421,0,0,5,524,-5,740,0,0,0,0
T,2427,1,0,8365,191,421,0,0,5,524,-5,740,0,0,0,0
T,2428,2,0,-20148,190,421,0,0,5,524,-6,740,0,0,0,0
C,3279,3281,3282,3276,3279,3279,3276,3278,3279,3280,3281,3280,3280,3280,3280,3279
T,2429,2,0,-16259,190,421,0,0,5,524,-6,740,0,0,0,0
T,2430,1,0,-13109,189,421,0,0,5,524,-6,740,0,0,0,0
C,3279,3280,3282,3276,3279,3280,3276,3278,3279,3280,3281,3281,3280,3281,3280,3279
T,2431,2,0,-11415,190,421,0,0,5,524,-5,740,0,0,0,0
T,2432,1,0,-30425,192,421,0,0,5,524,-5,740,0,0,0,0
T,2433,3,0,-23712,192,421,0,0,5,524,-5,740,0,0,0,0
T,2434,2,0,-14347,191,421,0,0,5,524,-4,740,0,0,0,0
C,3279,3280,3282,3277,3279,3280,3276,3278,3279,3280,3281,3281,3280,3280,3280,3279
C,3279,3280,3282,3276,3279,3280,3276,3278,3279,3280,3281,3280,3280,3280,3280,3279
T,2436,1,0,-28386,189,421,0,0,5,524,-4,740,0,0,0,0
C,3279,3280,3282,3276,3279,3280,3276,3278,3279,3280,3281,3280,3280,3280,3280,3279
T,2437,0,0,-26956,189,421,0,0,5,524,-3,740,0,0,0,0
T,2438,3,0,-2140,190,421,0,0,5,524,-3,740,0,0,0,0
T,2439,2,0,-28902,189,421,0,0,5,524,-3,740,0,0,0,0
C,3279,3281,3282,3276,3279,3280,3276,3278,3279,3280,3281,3280,3280,3280,3280,3279
T,2440,3,0,-29531,190,421,0,0,5,524,-4,740,0,0,0,0
C,3279,3281,3282,3276,3279,3280,3276,3278,3279,3280,3281,3280,3280,3280,3280,3279
C,3279,3280,3282,3276,3279,3279,3276,3278,3279,3280,3281,3280,3280,3280,3280,3279
T,2442,3,0,-27070,191,421,0,0,5,524,-4,740,0,0,0,0
C,3279,3280,3282,3276,3279,3279,3276,3278,3279,3280,3281,3280,3280,3280,3280,3279
T,2443,3,0,-17664,191,421,0,0,5,524,-5,740,0,0,0,0
T,2444,3,0,19525,193,421,0,0,5,524,-5,740,0,0,0,0
T,2445,4,0,-14357,191,421,0,0,5,524,-5,740,0,0,0,0
T,2446,4,0,3713,190,421,0,0,5,524,-5,740,0,0,0,0
T,2448,3,0,10688,190,421,0,0,5,524,-5,740,0,0,0,0
C,3280,3280,3282,3276,3279,3279,3276,3278,3279,3280,3281,3280,3280,3280,3280,3279
T,2450,3,0,-16398,192,421,0,0,5,524,-6,740,0,0,0,0
T,2451,4,0,28023,192,421,0,0,5,524,-6,740,0,0,0,0
T,2452,5,0,19589,193,421,0,0,5,524,-6,740,0,0,0,0
C,3280,3280,3282,3276,3279,3279,3276,3278,3279,3280,3281,3280,3280,3280,3280,3279
T,2453,3,0,32145,191,421,0,0,5,524,-6,740,0,0,0,0
C,3280,3280,3282,3276,3279,3279,3276,3278,3279,3280,3281,3280,3280,3280,3280,3279
C,3280,3280,3282,3276,3279,3279,3276,3278,3279,3280,3281,3280,3280,3280,3280,3279
